Column1;duration;id;index;location;match_id;minute;off_camera;pass_aerial_won;pass_angle;pass_assisted_shot_id;pass_body_part;pass_cross;pass_end_location;pass_goal_assist;pass_height;pass_inswinging;pass_length;pass_no_touch;pass_outcome;pass_outswinging;pass_recipient;pass_shot_assist;pass_switch;pass_technique;pass_type;period;play_pattern;player;player_id;position;possession;possession_team;possession_team_id;related_events;second;team;team_id;timestamp;type;under_pressure;x;y;pass_end_x;pass_end_y
10;1,083905;c377ac2c-8863-4792-b272-c2a050d996b2;16;[49.0, 14.5];3893818;0;;;0,49319565;;Head;;[57.0, 18.8];;Low Pass;;9,0824;;;;Lorena Bedoya Durango;;;;Recovery;1;From Kick Off;Daniela Alexandra Árias Rojas;403277;Left Center Back;2;Germany Women's;857;['9e9a7358-794f-47cd-84ec-eece0ecbbc49', 'd85ddd13-211e-4b2e-a949-88cd56f03f5f'];10;Colombia Women's;16802;12:00:11 a. m.;Pass;;49;14,5;57;18,8
14;3,973149;bb49446e-7d0c-492b-801a-940e0e8d3f1f;36;[16.0, 41.5];3893818;0;;;-0,14424263;;Drop Kick;;[69.7, 33.7];;High Pass;;54,263523;;Incomplete;;Mayra Tatiana Ramírez Ramírez;;;;;1;From Keeper;Catalina Pérez Jaramillo;46344;Goalkeeper;3;Colombia Women's;16802;['7c611a53-487e-423f-89ff-172447e48707', '8fc4a57d-07b3-425b-992c-e03bc260ef8a'];32;Colombia Women's;16802;12:00:33 a. m.;Pass;;16;41,5;69,7;33,7
16;0,938683;dcfa834b-267d-401f-aa2d-4273893b0f57;45;[62.8, 19.7];3893818;0;;;-1,3057535;;Right Foot;;[66.6, 5.7];;Ground Pass;;14,50655;;;;Linda Lizeth Caicedo Alegría;;;;;1;From Keeper;Lorena Bedoya Durango;49904;Right Defensive Midfield;3;Colombia Women's;16802;['04c644ea-a443-4609-86b2-e532582b31a7', 'd0f3905c-b7b6-42e0-b063-3af481963c08'];39;Colombia Women's;16802;12:00:40 a. m.;Pass;VERDADERO;62,8;19,7;66,6;5,7
17;0,841625;06540632-b228-4cc2-b46d-152a5c606007;48;[67.5, 4.6];3893818;0;;;1,0813242;;Right Foot;;[73.2, 15.3];;Ground Pass;;12,12353;;;;María Catalina Usme Pineda;;;;;1;From Keeper;Linda Lizeth Caicedo Alegría;386339;Left Wing;3;Colombia Women's;16802;['5831d267-aa8f-4ac2-88bd-d57a7d18dc47'];41;Colombia Women's;16802;12:00:42 a. m.;Pass;;67,5;4,6;73,2;15,3
18;2,346869;105579ed-b517-4254-a800-6a81b54f32a7;54;[73.4, 9.2];3893818;1;;;0,65452653;;Left Foot;;[106.5, 34.6];;High Pass;;41,722534;;Incomplete;;Daniela Alexandra Árias Rojas;;;;Free Kick;1;From Free Kick;María Catalina Usme Pineda;403278;Center Attacking Midfield;4;Colombia Women's;16802;['8b20d2ae-04ff-4bb0-aee9-0a5c0e3d474d', 'bd6e6415-bb56-4f7e-ba34-c47dfa7ba919'];11;Colombia Women's;16802;12:01:12 a. m.;Pass;;73,4;9,2;106,5;34,6
19;1,48086;76126c62-9fec-4bdc-9fe2-439c2c12a3a7;59;[75.6, 30.2];3893818;1;;;-1,5471321;;Right Foot;;[76.0, 13.3];;High Pass;;16,904734;;;;Linda Lizeth Caicedo Alegría;;;;Recovery;1;From Free Kick;Lorena Bedoya Durango;49904;Right Defensive Midfield;4;Colombia Women's;16802;['704e078a-2236-4797-95a6-007cff1d816c'];18;Colombia Women's;16802;12:01:19 a. m.;Pass;;75,6;30,2;76;13,3
20;1,103405;8883bc23-43fc-430f-8283-2c7d09d9dc39;63;[71.4, 1.8];3893818;1;;;2,9430249;;Right Foot;;[55.0, 5.1];;Ground Pass;;16,728718;;;;María Catalina Usme Pineda;;;;;1;From Free Kick;Linda Lizeth Caicedo Alegría;386339;Left Wing;4;Colombia Women's;16802;['61735893-f5fd-4416-bc2b-4d130bd4f3f3'];25;Colombia Women's;16802;12:01:25 a. m.;Pass;;71,4;1,8;55;5,1
21;4,183657;347e2f77-04ae-4623-9dde-6d7271128836;66;[56.1, 5.1];3893818;1;;;2,171929;;Left Foot;;[33.4, 38.2];;Ground Pass;;40,136017;;;;Carolina Arias Vidal;;;;;1;From Free Kick;María Catalina Usme Pineda;403278;Center Attacking Midfield;4;Colombia Women's;16802;['367666e3-06bf-4e21-9a24-8c1c6637f74f'];28;Colombia Women's;16802;12:01:28 a. m.;Pass;;56,1;5,1;33,4;38,2
22;1,122873;88dbfc11-210f-4f09-8f0e-cbf2fb44b2a1;69;[33.5, 39.8];3893818;1;;;1,5707964;;Right Foot;;[33.5, 52.4];;Ground Pass;;12,6;;;;Jorelyn Andrea Daniela Carabalí Martínez;;;;;1;From Free Kick;Carolina Arias Vidal;403283;Right Back;4;Colombia Women's;16802;['c0dcfb1d-19f5-438b-a05b-1d5b0a6d30d8'];34;Colombia Women's;16802;12:01:35 a. m.;Pass;;33,5;39,8;33,5;52,4
23;1,746136;02803e77-e7fc-4ffe-a41a-54252b802067;72;[21.5, 63.8];3893818;1;;;-2,1633103;;Left Foot;;[11.2, 48.5];;Ground Pass;;18,44397;;;;Catalina Pérez Jaramillo;;;;;1;From Free Kick;Jorelyn Andrea Daniela Carabalí Martínez;388473;Right Center Back;4;Colombia Women's;16802;['6a885de6-4380-48eb-a223-eb0da8189df0'];38;Colombia Women's;16802;12:01:38 a. m.;Pass;;21,5;63,8;11,2;48,5
